"","Date","PM10","total","I65","I45.64","I25.44","I1.24","I0.1","IN"
"1",1996-01-04,20,217.857142857143,137.571428571429,43.8571428571429,30.4285714285714,3.71428571428571,2.28571428571429,9.28571428571429
"2",1996-01-10,23,201.428571428571,138.142857142857,35.8571428571429,21.5714285714286,3,2.85714285714286,11.7142857142857
"3",1996-01-16,34,232.714285714286,152.142857142857,47.7142857142857,27.1428571428571,3.28571428571429,2.42857142857143,12.1428571428571
"4",1996-01-22,39,208.285714285714,132,41.8571428571429,26,3.42857142857143,5,10.4285714285714
"5",1996-01-28,13,208.285714285714,132,41.8571428571429,26,3.42857142857143,5,10.4285714285714
"6",1996-02-03,19,202.285714285714,130.571428571429,41.7142857142857,23.5714285714286,2.57142857142857,3.85714285714286,7.57142857142857
"7",1996-02-09,20,207.285714285714,133.714285714286,42.2857142857143,25.2857142857143,3.28571428571429,2.71428571428571,8.28571428571429
"8",1996-02-15,30,192.285714285714,127.142857142857,33.7142857142857,24.8571428571429,3.57142857142857,3,8.71428571428571
"9",1996-02-27,27,195.428571428571,127.142857142857,36,25.5714285714286,3.14285714285714,3.57142857142857,7.71428571428571
"10",1996-03-04,25,175.142857142857,113.142857142857,33.4285714285714,21.5714285714286,4.42857142857143,2.57142857142857,7.85714285714286
"11",1996-03-16,11,185.714285714286,120.571428571429,39.1428571428571,19.8571428571429,2.57142857142857,3.57142857142857,7.28571428571429
"12",1996-03-22,12,189.142857142857,121.142857142857,37,23,5.14285714285714,2.85714285714286,5.28571428571429
"13",1996-03-28,24,178.714285714286,120,33.5714285714286,21,2,2,8
"14",1996-04-03,21,184.857142857143,120.857142857143,35.8571428571429,20.8571428571429,2.85714285714286,4.42857142857143,9.14285714285714
"15",1996-04-09,23,175.714285714286,114.285714285714,36.8571428571429,18,3,3.57142857142857,7.28571428571429
"16",1996-04-15,17,188.142857142857,119.285714285714,39.4285714285714,21.7142857142857,4.14285714285714,3.57142857142857,7.71428571428571
"17",1996-04-21,29,188.142857142857,119.285714285714,39.4285714285714,21.7142857142857,4.14285714285714,3.57142857142857,7.71428571428571
"18",1996-04-27,12,177.571428571429,116.285714285714,32.7142857142857,21.1428571428571,4.57142857142857,2.85714285714286,5.85714285714286
"19",1996-05-03,47,168.142857142857,106.857142857143,39,16.8571428571429,3.14285714285714,2.28571428571429,6.57142857142857
"20",1996-05-09,21,181.285714285714,114.714285714286,41,20.2857142857143,2.85714285714286,2.42857142857143,6.14285714285714
"21",1996-05-15,28,184.571428571429,122.571428571429,36.2857142857143,18.7142857142857,3.71428571428571,3.28571428571429,7.57142857142857
"22",1996-06-02,18,171.857142857143,110.714285714286,33.7142857142857,19.7142857142857,4.57142857142857,3.14285714285714,5.85714285714286
"23",1996-06-08,25,178.571428571429,118,35.5714285714286,19.4285714285714,2.71428571428571,2.85714285714286,6
"24",1996-06-14,35,177.714285714286,116.428571428571,33.7142857142857,20.8571428571429,3.71428571428571,3,6.57142857142857
"25",1996-06-20,23,167,104.714285714286,34.7142857142857,21.2857142857143,3.71428571428571,2.57142857142857,6.71428571428571
"26",1996-06-26,16,169.571428571429,115.571428571429,32,16.5714285714286,3.71428571428571,1.71428571428571,5.28571428571429
"27",1996-07-02,39,169.714285714286,109,32,21.2857142857143,4.42857142857143,3,6.28571428571429
"28",1996-07-08,49,164.285714285714,107.142857142857,33,18.8571428571429,3.42857142857143,1.85714285714286,5.28571428571429
"29",1996-07-20,12,165,105,34.5714285714286,19.4285714285714,3.57142857142857,2.42857142857143,5.42857142857143
"30",1996-07-26,25,177.714285714286,113,38.2857142857143,20.1428571428571,2.42857142857143,3.85714285714286,4.57142857142857
"31",1996-08-01,29,161.857142857143,108.714285714286,30.2857142857143,17.4285714285714,3.28571428571429,2.14285714285714,4.42857142857143
"32",1996-08-07,74,164.571428571429,106.142857142857,32.8571428571429,20.5714285714286,2.57142857142857,2.42857142857143,3.42857142857143
"33",1996-08-13,15,162.142857142857,106.428571428571,33.2857142857143,16.7142857142857,3.42857142857143,2.28571428571429,5
"34",1996-08-25,21,166.857142857143,112.285714285714,33.2857142857143,16.4285714285714,3.14285714285714,1.71428571428571,5.85714285714286
"35",1996-08-31,22,169.571428571429,109.714285714286,36.8571428571429,17,3.28571428571429,2.71428571428571,6.14285714285714
"36",1996-09-06,32,159.714285714286,106.142857142857,32.8571428571429,16.1428571428571,2.42857142857143,2.14285714285714,6.71428571428571
"37",1996-09-12,19,164.714285714286,104.571428571429,35.7142857142857,19.8571428571429,3.14285714285714,1.42857142857143,6.71428571428571
"38",1996-09-18,9,162.714285714286,104.285714285714,35.4285714285714,17.4285714285714,3,2.57142857142857,7
"39",1996-09-24,24,167.857142857143,113.428571428571,32.1428571428571,17.7142857142857,3.28571428571429,1.28571428571429,5.28571428571429
"40",1996-09-30,16,169.571428571429,111.571428571429,34,18.4285714285714,2,3.57142857142857,4.71428571428571
"41",1996-10-06,14,169.571428571429,111.571428571429,34,18.4285714285714,2,3.57142857142857,4.71428571428571
"42",1996-10-12,16,176.571428571429,118.714285714286,35.7142857142857,17,2.42857142857143,2.71428571428571,5.85714285714286
"43",1996-10-18,31,174.142857142857,119.857142857143,34.1428571428571,15.1428571428571,2.85714285714286,2.14285714285714,5.28571428571429
"44",1996-10-24,16,173.285714285714,114.714285714286,35.4285714285714,16.4285714285714,3.57142857142857,3.14285714285714,6.57142857142857
"45",1996-10-30,28,176.571428571429,123.142857142857,33.4285714285714,15.4285714285714,2,2.57142857142857,6.71428571428571
