"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/10/2004","AQS","340030004","2","14","ug/m3 SC","13","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"01/16/2004","AQS","340030004","2","62","ug/m3 SC","54","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"01/22/2004","AQS","340030004","2","41","ug/m3 SC","38","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"01/28/2004","AQS","340030004","2","26","ug/m3 SC","24","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/03/2004","AQS","340030004","2","31","ug/m3 SC","29","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/09/2004","AQS","340030004","2","32","ug/m3 SC","30","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/15/2004","AQS","340030004","2","19","ug/m3 SC","18","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/21/2004","AQS","340030004","2","31","ug/m3 SC","29","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"02/27/2004","AQS","340030004","2","26","ug/m3 SC","24","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"03/04/2004","AQS","340030004","2","61","ug/m3 SC","54","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
"03/16/2004","AQS","340030004","2","22","ug/m3 SC","20","FORT LEE","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.854583","-73.967772"
